cl_min_perf,cl_max_perf,cl_median_perf,cl_mean_perf,cl_std_perf,pr_min_perf,pr_max_perf,pr_median_perf,pr_mean_perf,pr_std_perf,p_min_perf,p_max_perf,p_median_perf,p_mean_perf,p_std_perf,classifier-num,preprocessor-num,preprocessor,classifier,pipeline
0.0,1.0,0.7097471208097682,0.6342580950283898,0.2981601435566143,0.0,1.0,0.8251474016179899,0.7317497402357995,0.2564145839160007,0.0002573922538247,1.0,0.7352204840841912,0.6318302054757107,0.3068035280105524,9,9,polynomial,libsvm_svc,polynomial-libsvm_svc
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,1.913579432245008e-06,1.0,0.7040293040293041,0.6405632310519694,0.2899843436499656,1.913579432245008e-06,1.0,0.4570815675194893,0.4940663869467671,0.2891423654821745,13,7,nystroem_sampler,qda,nystroem_sampler-qda
0.0,1.0,0.7662854076176069,0.6771527410413897,0.2795401038795396,0.0,1.0,0.8042143299770278,0.7271841258416253,0.2444456679056478,0.0,1.0,0.7676523858823456,0.6772073995863683,0.2818301037791215,2,0,extra_trees_preproc_for_classification,decision_tree,extra_trees_preproc_for_classification-decision_tree
9.849305623953512e-05,1.0,0.7459354202133051,0.6983540689234604,0.2281141055065777,0.0,1.0,0.8042143299770278,0.7271841258416253,0.2444456679056478,0.0230292627373282,1.0,0.747596153846154,0.7058232488504647,0.2214237484606666,4,0,extra_trees_preproc_for_classification,gaussian_nb,extra_trees_preproc_for_classification-gaussian_nb
0.0,1.0,0.6507524750716878,0.5882849163545284,0.2986302702387222,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.0001132329171758,1.0,0.720632965247257,0.6640847069441733,0.2579292118196329,15,6,no_preprocessing,sgd,no_preprocessing-sgd
9.849305623953512e-05,1.0,0.7459354202133051,0.6983540689234604,0.2281141055065777,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,0.0277651669907887,1.0,0.7614509213706392,0.7097189130803361,0.2172550062612367,4,6,no_preprocessing,gaussian_nb,no_preprocessing-gaussian_nb
0.0008430092886448,1.0,0.8935140982816414,0.8458874639658579,0.1575746059599131,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.0761747825813464,1.0,0.8955869343080911,0.8422168570058763,0.157153065573937,14,11,select_percentile_classification,random_forest,select_percentile_classification-random_forest
0.0001060958869443,1.0,0.6674997323363305,0.6157928064593604,0.2561494848859982,1.913579432245008e-06,1.0,0.7040293040293041,0.6405632310519694,0.2899843436499656,0.0006265664160401,0.9899782135076252,0.5907283596843407,0.5607926206461222,0.2485657180039243,1,7,nystroem_sampler,bernoulli_nb,nystroem_sampler-bernoulli_nb
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.1051364258780548,1.0,0.891391290913376,0.8497073699694215,0.153200548543422,6,8,pca,k_nearest_neighbors,pca-k_nearest_neighbors
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,6.192917290686654e-05,1.0,0.8278892695961235,0.7609511780611006,0.2186296435741766,0.1073155650396037,1.0,0.865344852090979,0.8225807375900259,0.1557605319024055,6,10,random_trees_embedding,k_nearest_neighbors,random_trees_embedding-k_nearest_neighbors
0.0,1.0,0.7459018538186272,0.6869688019548278,0.2535608669915766,0.0,1.0,0.7842633528295555,0.7060106585609369,0.2614373247758434,0.0030364372469635,1.0,0.747596153846154,0.68844611118705,0.2576027150714869,12,5,liblinear_svc_preprocessor,passive_aggressive,liblinear_svc_preprocessor-passive_aggressive
0.0,1.0,0.7662854076176069,0.6771527410413897,0.2795401038795396,0.0,1.0,0.8298127021022589,0.7458946877406527,0.2432849753229347,6.2373334837194e-05,1.0,0.7870940089979589,0.6837686751942105,0.2769862451757003,2,6,no_preprocessing,decision_tree,no_preprocessing-decision_tree
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,0.0,1.0,0.8251474016179899,0.7317497402357995,0.2564145839160007,0.0037625823966029,1.0,0.8312535450935905,0.7419622757868396,0.2378711192768959,13,9,polynomial,qda,polynomial-qda
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.0043815803538025,1.0,0.7680329560732196,0.6845330427955515,0.2487103915895128,13,8,pca,qda,pca-qda
0.0004262574595055,1.0,0.9140866590868748,0.8297617393432654,0.2149989629735834,0.0,1.0,0.8098587325750048,0.7221757397155247,0.2534540684549451,0.0004262574595055,1.0,0.920608200761042,0.8193894766143947,0.259164339214034,5,1,fast_ica,gradient_boosting,fast_ica-gradient_boosting
0.0,1.0,0.7097471208097682,0.6342580950283898,0.2981601435566143,6.192917290686654e-05,1.0,0.8278892695961235,0.7609511780611006,0.2186296435741766,0.0006265664160401,1.0,0.8729122505826634,0.7781992386880427,0.2425661917790172,9,10,random_trees_embedding,libsvm_svc,random_trees_embedding-libsvm_svc
0.0004262574595055,1.0,0.9140866590868748,0.8297617393432654,0.2149989629735834,0.0,1.0,0.8251474016179899,0.7317497402357995,0.2564145839160007,0.0118577177948166,1.0,0.957954197618293,0.8923670561343723,0.1776931753936751,5,9,polynomial,gradient_boosting,polynomial-gradient_boosting
0.0,1.0,0.8929169329216888,0.8410117983854665,0.1694990582412101,0.0,1.0,0.7842633528295555,0.7060106585609369,0.2614373247758434,0.1271029016656708,1.0,0.8974821688039881,0.8300314280627994,0.1947555004709796,6,5,liblinear_svc_preprocessor,k_nearest_neighbors,liblinear_svc_preprocessor-k_nearest_neighbors
0.0,1.0,0.7662854076176069,0.6771527410413897,0.2795401038795396,0.0,1.0,0.8391243051365023,0.742669168994915,0.253994487338153,0.0,1.0,0.7998565279770445,0.7134861728905064,0.2563817328278088,2,2,feature_agglomeration,decision_tree,feature_agglomeration-decision_tree
